,image_name clothes_type pose_type x_1 y_1 x_2 y_2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,img/WOMEN/Blouses_Shirts/id_00000001/02_1_front.jpg,1,1,50,49,208,235
1,img/WOMEN/Blouses_Shirts/id_00000001/02_2_side.jpg,1,2,119,48,136,234
2,img/WOMEN/Blouses_Shirts/id_00000001/02_3_back.jpg,1,3,50,42,213,240
3,img/WOMEN/Blouses_Shirts/id_00000001/02_4_full.jpg,1,4,82,30,162,129
4,img/WOMEN/Dresses/id_00000002/02_1_front.jpg,3,1,65,45,233,252
5,img/WOMEN/Dresses/id_00000002/02_2_side.jpg,3,2,112,41,168,247
6,img/WOMEN/Dresses/id_00000002/02_4_full.jpg,3,4,89,34,169,167
7,img/WOMEN/Dresses/id_00000002/02_7_additional.jpg,3,5,73,40,194,251
8,img/WOMEN/Skirts/id_00000003/02_1_front.jpg,2,1,51,122,160,210
9,img/WOMEN/Skirts/id_00000003/02_2_side.jpg,2,2,121,13,131,112
10,img/WOMEN/Skirts/id_00000003/02_3_back.jpg,2,3,41,30,227,180
11,img/WOMEN/Skirts/id_00000003/02_4_full.jpg,2,4,116,87,201,151
12,img/WOMEN/Skirts/id_00000003/02_7_additional.jpg,2,5,49,15,177,105
13,img/WOMEN/Blouses_Shirts/id_00000004/03_1_front.jpg,1,1,79,29,211,168
14,img/WOMEN/Blouses_Shirts/id_00000004/03_3_back.jpg,1,3,92,35,198,160
15,img/WOMEN/Blouses_Shirts/id_00000004/03_7_additional.jpg,1,5,64,22,206,205
16,img/WOMEN/Blouses_Shirts/id_00000004/05_1_front.jpg,1,1,43,38,192,248
17,img/WOMEN/Blouses_Shirts/id_00000004/05_2_side.jpg,1,2,130,45,167,236
18,img/WOMEN/Blouses_Shirts/id_00000004/05_7_additional.jpg,1,5,64,40,209,238
19,img/WOMEN/Blouses_Shirts/id_00000005/02_1_front.jpg,1,1,79,45,170,239
20,img/WOMEN/Blouses_Shirts/id_00000005/02_2_side.jpg,1,2,52,53,208,235
21,img/WOMEN/Blouses_Shirts/id_00000005/02_4_full.jpg,1,4,87,37,176,135
22,img/WOMEN/Blouses_Shirts/id_00000005/02_7_additional.jpg,1,5,45,43,235,249
23,img/MEN/Sweatshirts_Hoodies/id_00000006/01_1_front.jpg,1,1,51,40,202,215
24,img/MEN/Sweatshirts_Hoodies/id_00000006/01_2_side.jpg,1,2,122,48,151,230
25,img/MEN/Sweatshirts_Hoodies/id_00000006/01_3_back.jpg,1,3,52,36,209,219
26,img/MEN/Sweatshirts_Hoodies/id_00000006/01_6_flat.jpg,1,6,25,50,235,208
27,img/MEN/Sweatshirts_Hoodies/id_00000006/01_7_additional.jpg,1,5,86,27,181,129
28,img/MEN/Sweatshirts_Hoodies/id_00000006/02_1_front.jpg,1,1,60,44,209,212
29,img/MEN/Sweatshirts_Hoodies/id_00000006/02_2_side.jpg,1,2,121,45,155,218
30,img/MEN/Sweatshirts_Hoodies/id_00000006/02_3_back.jpg,1,3,57,34,208,214
31,img/MEN/Sweatshirts_Hoodies/id_00000006/02_6_flat.jpg,1,6,28,43,234,209
32,img/MEN/Sweatshirts_Hoodies/id_00000006/02_7_additional.jpg,1,5,84,27,180,135
33,img/WOMEN/Tees_Tanks/id_00000007/01_1_front.jpg,1,1,66,67,205,256
34,img/WOMEN/Tees_Tanks/id_00000007/01_2_side.jpg,1,2,97,5,185,202
